UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2021-02-01;9645
DF;BRASILIA;TAGUATINGA;2020-09-01;12276
GO;GOIANIA;GOIANIA;2020-10-01;33445
RJ;NILOPOLIS;NILOPOLIS;2020-03-01;20406
RJ;CABO FRIO;CABO FRIO;2020-10-01;11664
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2018-08-01;387
DF;BRASILIA;SOBRADINHO;2019-09-01;70
RJ;NITEROI;NITEROI;2020-10-01;22329
RO;JI-PARANA;JI-PARANA;2020-02-01;1058
MG;POUSO ALEGRE;POUSO ALEGRE;2020-04-01;4304
RS;CACHOEIRINHA;CACHOEIRINHA;2021-11-01;359
BA;SALVADOR;SALVADOR;2019-02-01;1627
MG;PATROCINIO;PATROCINIO;2020-02-01;3314
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2020-12-01;2733
RO;PORTO VELHO;PORTO VELHO;2022-01-01;75137
RS;PORTO ALEGRE;PORTO ALEGRE;2021-04-01;37217
AM;MANAUS;MANAUS;2021-04-01;53776
DF;BRASILIA;SOBRADINHO;2020-06-01;12
RS;NOVO HAMBURGO;NOVO HAMBURGO;2022-02-01;21839
MG;ARAGUARI;ARAGUARI;2020-07-01;9778
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2021-01-01;64623
MG;VESPASIANO;VESPASIANO;2021-08-01;5654
PE;OLINDA;OLINDA;2019-03-01;565
PR;LONDRINA;LONDRINA;2021-10-01;1193
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2021-08-01;8589
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2021-12-01;9517
RJ;PETROPOLIS;PEDRO DO RIO;2021-07-01;6
BA;JACOBINA;JACOBINA;2021-07-01;1717
BA;JUAZEIRO;JUAZEIRO;2019-09-01;677
PR;PINHAIS;PINHAIS;2020-11-01;10670
MG;CATAGUASES;CATAGUASES;2020-04-01;1883
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2021-02-01;7994
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2021-09-01;32446
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-02-01;25498
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-09-01;10128
MG;NOVA LIMA;NOVA LIMA;2020-07-01;1177
ES;VILA VELHA;VILA VELHA;2020-10-01;1704
ES;SERRA;CARAPINA;2021-01-01;27
RS;PELOTAS;PELOTAS;2021-01-01;9366
PI;TERESINA;TERESINA;2019-10-01;4234
ES;CARIACICA;CARIACICA;2021-03-01;5543
MA;IMPERATRIZ;IMPERATRIZ;2021-10-01;916
AM;MANAUS;MANAUS;2021-09-01;64658
PI;PARNAIBA;PARNAIBA;2022-02-01;9721
RJ;DUQUE DE CAXIAS;XEREM;2020-11-01;1
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2021-04-01;856
PR;CASCAVEL;CASCAVEL;2021-07-01;27483
PR;PONTA GROSSA;PONTA GROSSA;2020-08-01;7988
ES;VITORIA;VITORIA;2020-11-01;6725
BA;BARREIRAS;BARREIRAS;2020-11-01;11296
RS;PASSO FUNDO;PASSO FUNDO;2020-06-01;1597
RJ;CABO FRIO;CABO FRIO;2021-01-01;13687
RJ;NOVA IGUACU;NOVA IGUACU;2019-03-01;397
MG;LAGOA SANTA;LAGOA SANTA;2021-07-01;3
PA;BELEM;BELEM;2021-11-01;74138
PR;PONTA GROSSA;PONTA GROSSA;2020-02-01;1507
MS;DOURADOS;DOURADOS;2020-12-01;26009
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2019-10-01;42266
GO;JATAI;JATAI;2022-02-01;4964
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2019-01-01;360
DF;BRASILIA;GUARA;2021-12-01;4
RS;SANTA MARIA;SANTA MARIA;2021-03-01;16137
MG;MONTES CLAROS;MONTES CLAROS;2019-06-01;4020
GO;GOIANIA;GOIANIA;2021-10-01;60310
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-05-01;60915
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2019-10-01;3096
BA;JEQUIE;JEQUIE;2020-09-01;4359
PE;OLINDA;OLINDA;2020-12-01;16788
RS;SAO LOURENCO DO SUL;SAO LOURENCO DO SUL;2021-02-01;713
MG;POUSO ALEGRE;POUSO ALEGRE;2021-05-01;7347
PB;CAMPINA GRANDE;CAMPINA GRANDE;2021-12-01;2304
