UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
MG;POCOS DE CALDAS;POCOS DE CALDAS;2022-02-01;10834
SC;LAURENTINO;LAURENTINO;2020-12-01;4
RS;ALEGRETE;ALEGRETE;2022-02-01;2052
CE;FORTALEZA;FORTALEZA;2021-06-01;71123
MA;IMPERATRIZ;IMPERATRIZ;2021-06-01;427
SC;BRUSQUE;BRUSQUE;2020-02-01;863
PR;COLOMBO;COLOMBO;2019-09-01;7425
MG;SETE LAGOAS;SETE LAGOAS;2021-09-01;24805
RJ;PETROPOLIS;PEDRO DO RIO;2021-09-01;6
MT;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;2021-08-01;1298
CE;FORTALEZA;FORTALEZA;2018-12-01;1082
RS;SAO LEOPOLDO;SAO LEOPOLDO;2019-12-01;3501
PI;PIRIPIRI;PIRIPIRI;2021-07-01;198
BA;JEQUIE;JEQUIE;2020-02-01;1048
PE;PAULISTA;PAULISTA;2021-12-01;416
PR;WENCESLAU BRAZ;WENCESLAU BRAZ;2022-02-01;128
RJ;SAO GONCALO;SAO GONCALO;2019-03-01;2500
RJ;MANGARATIBA;MANGARATIBA;2019-10-01;44
ES;VITORIA;VITORIA;2020-09-01;5080
PA;BELEM;BELEM;2020-02-01;19567
RJ;MANGARATIBA;PORTO BELO;2021-08-01;195
GO;MORRINHOS;MORRINHOS;2021-12-01;2159
RO;PORTO VELHO;PORTO VELHO;2020-09-01;49269
GO;RIO VERDE;RIO VERDE;2021-04-01;6148
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2021-06-01;70963
DF;BRASILIA;TAGUATINGA;2021-12-01;27330
MT;RONDONOPOLIS;RONDONOPOLIS;2022-01-01;32148
AM;MANAUS;MANAUS;2019-04-01;2646
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-08-01;65370
RJ;TERESOPOLIS;TERESOPOLIS;2020-02-01;3136
PI;PARNAIBA;PARNAIBA;2021-01-01;7978
MG;PATROCINIO;PATROCINIO;2020-08-01;4989
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2021-03-01;9802
MG;LAGOA SANTA;LAGOA SANTA;2020-05-01;19
RS;CAXIAS DO SUL;CAXIAS DO SUL;2020-08-01;14135
MS;CAMPO GRANDE;CAMPO GRANDE;2022-01-01;58494
RS;PORTO ALEGRE;PORTO ALEGRE;2020-12-01;22834
ES;VITORIA;VITORIA;2021-03-01;10661
DF;BRASILIA;TAGUATINGA;2021-08-01;25364
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2020-08-01;1343
SC;SAO JOSE;SAO JOSE;2021-08-01;224
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2018-10-01;32
MG;VESPASIANO;VESPASIANO;2020-10-01;5440
ES;SERRA;JACARAIPE;2021-08-01;3
RJ;CABO FRIO;TAMOIOS;2021-07-01;17
MG;SETE LAGOAS;SETE LAGOAS;2020-04-01;11573
BA;JACOBINA;JACOBINA;2021-01-01;1451
RJ;PETROPOLIS;PEDRO DO RIO;2021-04-01;6
TO;PALMAS;SANTO AMARO;2020-09-01;2
MG;SETE LAGOAS;SETE LAGOAS;2020-08-01;17975
PI;PIRIPIRI;PIRIPIRI;2020-10-01;163
SC;FLORIANOPOLIS;FLORIANOPOLIS;2019-11-01;1
RS;PELOTAS;PELOTAS;2021-12-01;17240
RS;SANTO ANGELO;SANTO ANGELO;2020-07-01;352
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2021-06-01;8488
SC;CHAPECO;CHAPECO;2022-01-01;4625
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2019-12-01;2
PR;COLOMBO;COLONIA FARIA;2021-10-01;1
MG;POCOS DE CALDAS;POCOS DE CALDAS;2019-10-01;2486
SC;BLUMENAU;BLUMENAU;2021-03-01;19006
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2020-03-01;2044
MG;POCOS DE CALDAS;POCOS DE CALDAS;2019-01-01;1209
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-09-01;7284
MG;DIVINOPOLIS;DIVINOPOLIS;2021-08-01;23648
SC;TUBARAO;TUBARAO;2020-01-01;1
MG;LAGOA SANTA;LAGOA SANTA;2021-02-01;5
MT;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;2021-12-01;2311
SC;BRUSQUE;BRUSQUE;2021-01-01;5758
SE;ARACAJU;ARACAJU;2021-04-01;8944
RN;NATAL;NATAL;2020-09-01;4113
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2022-01-01;29656
TO;PALMAS;SANTO AMARO;2021-03-01;2
GO;NOVO GAMA;NOVO GAMA;2021-12-01;707
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2020-07-01;32403
RJ;BARRA MANSA;BARRA MANSA;2021-08-01;3394
PR;MARINGA;MARINGA;2022-01-01;38093
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-06-01;4746
RJ;ARARUAMA;ARARUAMA;2021-11-01;1534
AC;RIO BRANCO;RIO BRANCO;2021-07-01;36421
PR;PARANAGUA;PARANAGUA;2021-12-01;5730
PR;PARANAGUA;PARANAGUA;2021-10-01;3626
RR;BOA VISTA;BOA VISTA;2019-05-01;72
SC;JOINVILLE;JOINVILLE;2021-03-01;10478
PR;COLOMBO;SANTA RITA;2022-02-01;35
RJ;SAO GONCALO;SAO GONCALO;2021-06-01;20968
SC;CRICIUMA;CIDADE MINEIRA;2022-01-01;4
RJ;CABO FRIO;CAMINHO DE BUZIOS;2020-03-01;1
PE;CARUARU;CARUARU;2021-08-01;9972
PR;UNIAO DA VITORIA;UNIAO DA VITORIA;2022-01-01;1695
RJ;SAO GONCALO;SAO GONCALO;2020-09-01;16563
GO;RIO VERDE;RIO VERDE;2020-11-01;2071
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2019-04-01;47354
MG;NOVA LIMA;SERRA DEL REI;2022-02-01;379
RS;ALVORADA;ALVORADA;2022-02-01;33725
RR;BOA VISTA;BOA VISTA;2020-08-01;30819
MG;ARAGUARI;ARAGUARI;2020-05-01;8829
MS;DOURADOS;DOURADOS;2021-06-01;31020
BA;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;2021-10-01;8571
PR;PINHAIS;PINHAIS;2020-06-01;1986
PA;BELEM;BELEM;2021-03-01;52009
RJ;TERESOPOLIS;TERESOPOLIS;2019-11-01;2346
MG;SETE LAGOAS;SETE LAGOAS;2019-08-01;1888
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2020-06-01;2293
SC;INDAIAL;INDAIAL;2021-02-01;1
PR;PONTA GROSSA;PONTA GROSSA;2020-12-01;17225
MG;BELO HORIZONTE;BELO HORIZONTE;2020-11-01;51487
AP;MACAPA;MACAPA;2021-08-01;27920
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2021-08-01;10560
BA;BARREIRAS;BARREIRAS;2020-06-01;8483
MA;SAO LUIS;SAO LUIS;2021-06-01;70941
MG;VARGINHA;VARGINHA;2020-08-01;7638
ES;NOVA VENECIA;NOVA VENECIA;2020-05-01;1061
PR;SAO PEDRO DO IVAI;SAO PEDRO DO IVAI;2022-01-01;219
RJ;SAO GONCALO;SAO GONCALO;2021-07-01;21312
RS;CANOAS;CANOAS;2021-01-01;31294
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2021-11-01;8855
MG;CONTAGEM;CONTAGEM;2020-09-01;5160
RO;JI-PARANA;JI-PARANA;2021-01-01;8822
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2019-07-01;26088
MG;MONTES CLAROS;MONTES CLAROS;2020-09-01;18974
BA;JEQUIE;JEQUIE;2020-08-01;3765
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2020-05-01;6516
RJ;ITAGUAI;ITAGUAI;2021-06-01;7694
RJ;NOVA IGUACU;NOVA IGUACU;2019-05-01;945
MG;JUIZ DE FORA;JUIZ DE FORA;2019-07-01;1781
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2021-08-01;34
BA;SALVADOR;SALVADOR;2020-06-01;54571
SE;ARACAJU;ARACAJU;2020-12-01;4296
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2019-07-01;1510
RO;JI-PARANA;JI-PARANA;2021-09-01;10568
BA;LUIS EDUARDO MAGALHAES;LUIS EDUARDO MAGALHAES;2021-12-01;544
MT;SINOP;SINOP;2020-09-01;4337
MS;CAMPO GRANDE;CAMPO GRANDE;2021-09-01;51764
MT;SINOP;SINOP;2021-06-01;7653
MG;MONTES CLAROS;MONTES CLAROS;2020-10-01;19631
MG;POUSO ALEGRE;POUSO ALEGRE;2021-10-01;8945
RS;VIAMAO;VIAMAO;2020-01-01;10465
ES;CARIACICA;CARIACICA;2021-07-01;14994
PI;PIRIPIRI;PIRIPIRI;2019-11-01;107
MG;DIVINOPOLIS;DIVINOPOLIS;2020-10-01;18980
BA;EUNAPOLIS;EUNAPOLIS;2021-12-01;7096
RJ;CABO FRIO;TAMOIOS;2021-12-01;20
RJ;CABO FRIO;UNAMAR;2021-10-01;3923
RO;JI-PARANA;JI-PARANA;2021-05-01;9999
DF;BRASILIA;GAMA;2022-02-01;39
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-03-01;3575
PI;PARNAIBA;PARNAIBA;2021-04-01;9822
PR;CASCAVEL;CASCAVEL;2020-02-01;1
MT;RONDONOPOLIS;RONDONOPOLIS;2021-01-01;27576
MG;BELO HORIZONTE;BELO HORIZONTE;2021-08-01;104061
MG;CONTAGEM;CONTAGEM;2021-08-01;18161
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2019-10-01;138
PR;FOZ DO IGUACU;FOZ DO IGUACU;2020-10-01;501
AM;MANAUS;MANAUS;2020-12-01;43764
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2019-02-01;42862
RJ;ANGRA DOS REIS;CUNHAMBEBE;2021-12-01;1
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2019-01-01;13036
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2021-05-01;8674
SC;CHAPECO;CHAPECO;2020-06-01;878
PR;SAO SEBASTIAO DA AMOREIRA;SAO SEBASTIAO DA AMOREIRA;2022-02-01;75
SC;LAURENTINO;LAURENTINO;2020-11-01;4
SC;CHAPECO;CHAPECO;2020-02-01;1
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-06-01;3706
DF;BRASILIA;GUARA;2021-08-01;2
PR;COLOMBO;COLOMBO;2019-07-01;4570
RJ;CABO FRIO;CABO FRIO;2020-11-01;12278
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-06-01;3218
RS;CANOAS;CANOAS;2022-01-01;44831
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2021-06-01;7513
DF;BRASILIA;BRASILIA;2021-02-01;19567
BA;SALVADOR;SALVADOR;2021-12-01;104756
GO;NOVO GAMA;NOVO GAMA;2021-03-01;617
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-10-01;10381
PR;COLOMBO;COLONIA FARIA;2020-09-01;2
BA;PAULO AFONSO;PAULO AFONSO;2021-11-01;2895
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2021-01-01;44295
AC;RIO BRANCO;RIO BRANCO;2020-08-01;21581
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-08-01;3389
RJ;DUQUE DE CAXIAS;XEREM;2021-04-01;1
RS;VIAMAO;VILA ELZA;2020-11-01;1
RJ;QUEIMADOS;QUEIMADOS;2020-07-01;6129
MG;POCOS DE CALDAS;POCOS DE CALDAS;2020-01-01;3152
PB;CAMPINA GRANDE;CAMPINA GRANDE;2021-01-01;1014
PR;LONDRINA;LONDRINA;2020-07-01;152
SC;ITAJAI;ITAJAI;2021-09-01;13472
PR;COLOMBO;MARACANA;2021-11-01;161
PI;PIRIPIRI;PIRIPIRI;2021-12-01;206
BA;JACOBINA;JACOBINA;2021-05-01;1652
SC;BRUSQUE;BRUSQUE;2019-11-01;2
PB;CAMPINA GRANDE;CAMPINA GRANDE;2022-01-01;2357
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2021-06-01;79597
RJ;ARARUAMA;ARARUAMA;2021-10-01;1407
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2021-11-01;84497
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2019-09-01;35665
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-02-01;4662
RJ;PETROPOLIS;PETROPOLIS;2020-02-01;21009
MA;SANTA INES;SANTA INES;2021-08-01;4410
ES;SERRA;SERRA;2021-11-01;21845
MG;UBA;UBA;2021-01-01;12001
RS;PASSO FUNDO;PASSO FUNDO;2021-08-01;13860
PR;CURITIBA;CURITIBA;2020-01-01;16762
MG;ARAGUARI;ARAGUARI;2020-09-01;10252
RJ;MESQUITA;MESQUITA;2020-08-01;3140
RS;VIAMAO;VILA ELZA;2021-04-01;1
MG;ARAGUARI;ARAGUARI;2022-02-01;10928
MG;PATROCINIO;PATROCINIO;2021-02-01;5856
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2019-04-01;1260
CE;MARACANAU;MARACANAU;2021-05-01;167
PA;BELEM;BELEM;2020-09-01;40100
RJ;CABO FRIO;CABO FRIO;2018-10-01;1174
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2020-09-01;1954
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-04-01;8163
MG;DIVINOPOLIS;DIVINOPOLIS;2020-11-01;19645
ES;NOVA VENECIA;NOVA VENECIA;2020-09-01;2714
SC;TUBARAO;TUBARAO;2020-03-01;51
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-06-01;62321
PA;ANANINDEUA;ANANINDEUA;2020-05-01;6058
MT;PONTES E LACERDA;PONTES E LACERDA;2021-10-01;563
MG;PATROCINIO;PATROCINIO;2021-11-01;5660
SC;RIO DO SUL;RIO DO SUL;2020-12-01;5450
ES;CARIACICA;ITAQUARI;2021-03-01;28
RJ;CABO FRIO;CABO FRIO;2021-06-01;15753
GO;MORRINHOS;MORRINHOS;2020-08-01;943
MG;CONTAGEM;CONTAGEM;2020-07-01;2918
RJ;CABO FRIO;TAMOIOS;2021-11-01;18
RJ;MANGARATIBA;MANGARATIBA;2019-11-01;49
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2020-12-01;3494
RJ;PETROPOLIS;CORREIAS;2019-07-01;22
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2021-03-01;8237
MG;MONTES CLAROS;MONTES CLAROS;2021-09-01;23928
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2019-12-01;13
RS;ALVORADA;ALVORADA;2019-04-01;6
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-03-01;2030
MG;VESPASIANO;VESPASIANO;2020-06-01;5079
RS;ALVORADA;ALVORADA;2021-06-01;31562
MG;CATAGUASES;CATAGUASES;2020-06-01;2012
SC;CRICIUMA;CRICIUMA;2020-10-01;2928
PR;LONDRINA;LONDRINA;2021-08-01;1174
RJ;DUQUE DE CAXIAS;XEREM;2021-02-01;1
DF;BRASILIA;BRASILIA;2019-12-01;16622
MG;VESPASIANO;VESPASIANO;2019-03-01;1596
SC;JOINVILLE;JOINVILLE;2020-09-01;4329
GO;GOIANIA;GOIANIA;2018-11-01;137
MG;PATROCINIO;PATROCINIO;2020-09-01;5162
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2019-11-01;1517
MS;CAMPO GRANDE;CAMPO GRANDE;2020-10-01;12084
RJ;MARICA;MARICA;2021-10-01;769
DF;BRASILIA;NUCLEO BANDEIRANTE;2021-05-01;5
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2020-11-01;8848
PR;COLOMBO;COLONIA FARIA;2021-02-01;2
PR;CURITIBA;CURITIBA;2018-10-01;83
PR;LONDRINA;LONDRINA;2021-02-01;901
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-06-01;9178
RJ;CABO FRIO;CABO FRIO;2020-05-01;13570
PR;CASCAVEL;CASCAVEL;2021-09-01;29469
RJ;QUEIMADOS;QUEIMADOS;2020-10-01;7436
GO;RIO VERDE;RIO VERDE;2020-03-01;141
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2021-12-01;222550
GO;RIO VERDE;RIO VERDE;2020-10-01;1772
MG;POUSO ALEGRE;POUSO ALEGRE;2021-07-01;8123
RJ;MANGARATIBA;MANGARATIBA;2020-12-01;56
SC;BRUSQUE;BRUSQUE;2021-12-01;9615
SC;BLUMENAU;BLUMENAU;2019-12-01;2549
MT;CUIABA;CUIABA;2021-01-01;6052
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2020-01-01;2336
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2021-04-01;73647
RS;ALVORADA;ALVORADA;2020-11-01;27824
PE;PETROLINA;PETROLINA;2021-09-01;1477
PE;JABOATAO DOS GUARARAPES;JABOATAO DOS GUARARAPES;2021-12-01;186
PB;CAMPINA GRANDE;CAMPINA GRANDE;2022-02-01;2379
SC;LAURENTINO;LAURENTINO;2020-09-01;4
SE;ARACAJU;ARACAJU;2021-03-01;7413
DF;BRASILIA;GAMA;2022-01-01;39
PE;PAULISTA;PAULISTA;2020-02-01;1
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-12-01;3998
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2020-01-01;24837
SC;BLUMENAU;BLUMENAU;2020-04-01;4693
AM;MANAUS;MANAUS;2019-10-01;10093
MT;SINOP;SINOP;2020-01-01;1
MG;BELO HORIZONTE;BELO HORIZONTE;2018-08-01;2025
PR;ARAUCARIA;ARAUCARIA;2022-01-01;1660
RJ;CABO FRIO;UNAMAR;2019-08-01;76
AL;MACEIO;MACEIO;2021-12-01;6481
MT;SINOP;SINOP;2021-02-01;6629
PR;FLORESTA;FLORESTA;2021-10-01;281
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2021-03-01;36
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2020-04-01;33833
PR;UNIAO DA VITORIA;UNIAO DA VITORIA;2022-02-01;1832
RO;JI-PARANA;JI-PARANA;2021-08-01;10444
RS;PORTO ALEGRE;PORTO ALEGRE;2021-08-01;50427
PI;TERESINA;TERESINA;2020-07-01;18606
SC;BLUMENAU;BLUMENAU;2019-08-01;75
BA;LAURO DE FREITAS;LAURO DE FREITAS;2021-11-01;5074
RJ;CABO FRIO;CAMINHO DE BUZIOS;2021-09-01;1604
DF;BRASILIA;TAGUATINGA;2021-04-01;21518
SC;CRICIUMA;CIDADE MINEIRA;2022-02-01;4
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2020-08-01;8122
BA;LAURO DE FREITAS;LAURO DE FREITAS;2020-06-01;2144
BA;JEQUIE;JEQUIE;2021-11-01;6274
BA;JEQUIE;JEQUIE;2019-09-01;1
RS;SANTO ANGELO;SANTO ANGELO;2021-12-01;4833
DF;BRASILIA;CEILANDIA;2019-06-01;53
ES;SERRA;SERRA;2021-07-01;17218
PE;PAULISTA;PAULISTA;2020-07-01;38
RS;ELDORADO DO SUL;ELDORADO DO SUL;2021-12-01;927
PR;CURITIBA;CURITIBA;2021-08-01;107048
SC;BLUMENAU;BLUMENAU;2021-04-01;20395
SC;BLUMENAU;BLUMENAU;2020-05-01;5842
RJ;CASIMIRO DE ABREU;CASIMIRO DE ABREU;2021-09-01;210
DF;BRASILIA;TAGUATINGA;2019-08-01;19
TO;PALMAS;PALMAS;2020-03-01;7223
RJ;PETROPOLIS;PEDRO DO RIO;2021-05-01;6
RS;VIAMAO;VIAMAO;2019-03-01;1746
ES;VILA VELHA;VILA VELHA;2021-01-01;1932
PI;PIRIPIRI;PIRIPIRI;2019-09-01;76
RJ;COMENDADOR LEVY GASPARIAN;COMENDADOR LEVY GASPARIAN;2019-02-01;2
AL;MARECHAL DEODORO;MARECHAL DEODORO;2021-12-01;293
RJ;CAMPOS DOS GOYTACAZES;CAMPOS DOS GOYTACAZES;2019-10-01;3032
MA;SAO LUIS;SAO LUIS;2019-08-01;3998
RS;VIAMAO;VIAMAO;2019-04-01;2573
RJ;CABO FRIO;CABO FRIO;2021-09-01;16428
RJ;PETROPOLIS;ITAIPAVA;2021-02-01;2126
RJ;PETROPOLIS;JARDIM ARARAS;2021-09-01;412
DF;BRASILIA;CEILANDIA;2021-05-01;34495
MA;SANTA INES;SANTA INES;2021-06-01;4116
RS;ALEGRETE;ALEGRETE;2022-01-01;1978
PI;PARNAIBA;PARNAIBA;2021-10-01;10331
GO;ANAPOLIS;ANAPOLIS;2020-06-01;116
PR;MEDIANEIRA;MEDIANEIRA;2021-10-01;686
GO;TRINDADE;TRINDADE;2022-02-01;1798
RR;BOA VISTA;BOA VISTA;2020-10-01;35757
RS;VIAMAO;VIAMAO;2019-08-01;4703
PR;COLOMBO;COLOMBO;2020-08-01;31367
GO;GOIANIA;GOIANIA;2018-10-01;46
RS;VIAMAO;VIAMAO;2019-01-01;594
BA;ITABUNA;ITABUNA;2020-07-01;1211
PB;JOAO PESSOA;JOAO PESSOA;2021-02-01;5130
PR;COLOMBO;COLOMBO;2019-03-01;158
CE;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;2021-06-01;6140
RJ;NILOPOLIS;NILOPOLIS;2019-06-01;9158
PA;MARABA;MARABA;2022-02-01;13028
PA;ANANINDEUA;ANANINDEUA;2020-09-01;9058
ES;SERRA;SERRA;2021-03-01;12228
SE;ARACAJU;ARACAJU;2020-03-01;1
RS;ALVORADA;ALVORADA;2020-10-01;26941
MS;DOURADOS;DOURADOS;2019-10-01;2531
SC;LAURENTINO;LAURENTINO;2020-01-01;1
MG;VARGINHA;VARGINHA;2020-06-01;6551
TO;PALMAS;SANTO AMARO;2021-07-01;2
MA;SANTA INES;SANTA INES;2021-11-01;4538
MS;MARACAJU;MARACAJU;2022-01-01;1593
AP;AMAPA;AMAPA;2021-10-01;1
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2020-09-01;743
RJ;NOVA IGUACU;NOVA IGUACU;2020-11-01;17669
PI;PIRIPIRI;PIRIPIRI;2021-11-01;205
BA;LAURO DE FREITAS;LAURO DE FREITAS;2020-05-01;1773
ES;VITORIA;VITORIA;2021-10-01;13751
MA;SAO LUIS;SAO LUIS;2021-04-01;68107
AC;RIO BRANCO;RIO BRANCO;2020-05-01;15713
RJ;PETROPOLIS;ITAIPAVA;2019-10-01;15
PR;PARANAGUA;PARANAGUA;2021-08-01;1758
DF;BRASILIA;SOBRADINHO;2020-03-01;13
RO;PORTO VELHO;PORTO VELHO;2021-10-01;74366
RJ;BARRA MANSA;BARRA MANSA;2021-04-01;3330
CE;FORTALEZA;FORTALEZA;2021-10-01;76884
ES;CARIACICA;CARIACICA;2021-12-01;18495
SC;LAGES;LAGES;2019-12-01;1
RJ;CABO FRIO;CAMINHO DE BUZIOS;2021-10-01;1616
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2021-10-01;71645
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2019-09-01;1
PR;PINHAIS;PINHAIS;2020-12-01;11880
MG;MONTES CLAROS;MONTES CLAROS;2020-05-01;14538
RJ;ANGRA DOS REIS;CUNHAMBEBE;2021-11-01;1
BA;SALVADOR;SALVADOR;2020-09-01;66364
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2019-05-01;4
RJ;TERESOPOLIS;TERESOPOLIS;2019-05-01;1058
RJ;QUEIMADOS;QUEIMADOS;2022-02-01;12971
ES;NOVA VENECIA;NOVA VENECIA;2021-02-01;3208
AL;MARECHAL DEODORO;MARECHAL DEODORO;2021-09-01;115
ES;SERRA;JACARAIPE;2021-11-01;4
PI;PIRIPIRI;PIRIPIRI;2021-06-01;197
MG;POUSO ALEGRE;POUSO ALEGRE;2021-01-01;6203
RJ;TERESOPOLIS;TERESOPOLIS;2020-12-01;5114
GO;SANTO ANTONIO DO DESCOBERTO;SANTO ANTONIO DO DESCOBERTO;2022-02-01;1995
DF;BRASILIA;GUARA;2022-02-01;3
SC;LAGES;LAGES;2021-04-01;8885
PA;BELEM;BELEM;2021-08-01;65291
SC;CRICIUMA;CRICIUMA;2022-01-01;7016
MT;SINOP;SINOP;2019-11-01;1
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2019-02-01;17493
PR;COLOMBO;ROCA GRANDE;2020-12-01;251
PI;PIRIPIRI;PIRIPIRI;2020-07-01;153
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2021-10-01;35
MG;SETE LAGOAS;SETE LAGOAS;2019-06-01;545
MG;BELO HORIZONTE;BELO HORIZONTE;2021-06-01;90995
DF;BRASILIA;TAGUATINGA;2020-12-01;15942
MG;NOVA LIMA;NOVA LIMA;2019-03-01;1176
RJ;MANGARATIBA;MANGARATIBA;2019-09-01;37
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2018-09-01;466
RS;SAO LEOPOLDO;SAO LEOPOLDO;2020-12-01;15410
SC;FLORIANOPOLIS;FLORIANOPOLIS;2022-01-01;8320
MG;POUSO ALEGRE;POUSO ALEGRE;2022-01-01;9475
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-07-01;6627
MG;MONTES CLAROS;MONTES CLAROS;2019-08-01;5675
SC;JOINVILLE;JOINVILLE;2021-08-01;16034
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2021-04-01;14122
PE;CARUARU;CARUARU;2020-02-01;2945
RJ;CABO FRIO;UNAMAR;2021-04-01;4135
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-12-01;69489
MT;RONDONOPOLIS;RONDONOPOLIS;2021-09-01;32044
RJ;ITAGUAI;ITAGUAI;2021-02-01;7416
BA;EUNAPOLIS;EUNAPOLIS;2020-08-01;968
RJ;MANGARATIBA;PORTO BELO;2019-11-01;1
RJ;NOVA IGUACU;NOVA IGUACU;2020-07-01;12435
BA;EUNAPOLIS;EUNAPOLIS;2020-09-01;1352
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-01-01;4953
RJ;NILOPOLIS;NILOPOLIS;2021-10-01;28613
RJ;CABO FRIO;CAMINHO DE BUZIOS;2021-05-01;1564
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2020-10-01;21
RS;CAMAQUA;CAMAQUA;2022-01-01;1129
MG;NOVA LIMA;NOVA LIMA;2021-07-01;1487
MG;DIVINOPOLIS;DIVINOPOLIS;2021-04-01;22252
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2020-03-01;22
RJ;SAO GONCALO;SAO GONCALO;2019-08-01;5186
RJ;SAO GONCALO;SAO GONCALO;2021-08-01;21488
BA;LAURO DE FREITAS;LAURO DE FREITAS;2020-04-01;1463
AC;RIO BRANCO;RIO BRANCO;2020-04-01;13380
BA;SALVADOR;SALVADOR;2021-11-01;103652
SC;CRICIUMA;CRICIUMA;2021-01-01;4308
RJ;BARRA MANSA;BARRA MANSA;2019-08-01;57
PR;WENCESLAU BRAZ;WENCESLAU BRAZ;2022-01-01;114
MG;MONTES CLAROS;MONTES CLAROS;2021-04-01;22891
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-08-01;4685
BA;EUNAPOLIS;EUNAPOLIS;2021-06-01;6916
AP;MACAPA;MACAPA;2019-05-01;258
