ENCERRAMENTO;UF;MUNICIPIO;QTE
2021-01-01;AC;RIO BRANCO;2
2021-01-01;GO;GOIANIA;2
2021-01-01;MG;BETIM;1
2021-01-02;BA;BARREIRAS;2
2021-01-02;BA;SALVADOR;1
2021-01-02;CE;FORTALEZA;5
2021-01-02;ES;VITORIA;1
2021-01-02;GO;RIO VERDE;1
2021-01-02;MG;POUSO ALEGRE;1
2021-01-02;PA;MARABA;5
2021-01-02;PE;RECIFE;1
2021-01-02;PR;CURITIBA;6
2021-01-02;SC;BLUMENAU;4
2021-01-04;CE;FORTALEZA;11
2021-01-04;ES;VITORIA;2
2021-01-04;MG;BELO HORIZONTE;7
2021-01-04;PE;OLINDA;1
2021-01-04;PR;CASCAVEL;3
2021-01-04;PR;COLOMBO;16
2021-01-04;RJ;NOVA IGUACU;1
2021-01-04;RJ;RIO DE JANEIRO;11
2021-01-04;RR;BOA VISTA;9
2021-01-04;RS;SANTA MARIA;5
2021-01-04;SC;CRICIUMA;1
2021-01-05;AP;MACAPA;2
2021-01-05;MG;ARAGUARI;2
2021-01-05;PR;PONTA GROSSA;2
2021-01-05;RJ;NITEROI;1
2021-01-05;RO;PORTO VELHO;15
2021-01-05;RS;SAO LEOPOLDO;1
2021-01-06;ES;SERRA;2
2021-01-06;MG;BELO HORIZONTE;4
2021-01-06;PE;OLINDA;2
2021-01-06;PR;CASCAVEL;2
2021-01-06;PR;COLOMBO;4
2021-01-06;RJ;CABO FRIO;5
2021-01-06;RJ;NILOPOLIS;2
2021-01-06;RJ;NOVA IGUACU;5
2021-01-06;RJ;RIO DE JANEIRO;20
2021-01-06;RR;BOA VISTA;17
2021-01-07;MG;ARAGUARI;2
2021-01-07;MG;VESPASIANO;1
2021-01-07;MS;CAMPO GRANDE;1
2021-01-07;MS;DOURADOS;4
2021-01-07;PA;BELEM;10
2021-01-07;PI;PARNAIBA;1
2021-01-07;RJ;NITEROI;3
2021-01-07;RS;CAXIAS DO SUL;8
2021-01-07;RS;SAO LEOPOLDO;2
2021-01-08;AL;MACEIO;1
2021-01-08;ES;SERRA;2
2021-01-08;MG;BELO HORIZONTE;5
2021-01-08;PR;CASCAVEL;1
2021-01-08;PR;COLOMBO;9
2021-01-08;RJ;CABO FRIO;7
2021-01-08;RJ;ITAGUAI;2
2021-01-08;RJ;MESQUITA;1
2021-01-08;RJ;NILOPOLIS;4
2021-01-08;RJ;NOVA IGUACU;3
2021-01-08;RJ;RIO DE JANEIRO;19
2021-01-08;RS;PELOTAS;1
2021-01-09;MA;SAO LUIS;17
2021-01-09;MG;ARAGUARI;3
2021-01-09;MS;CAMPO GRANDE;1
2021-01-09;MS;DOURADOS;3
2021-01-09;PA;BELEM;5
2021-01-09;PI;PARNAIBA;2
2021-01-09;RJ;NITEROI;4
2021-01-09;RN;NATAL;2
2021-01-09;RS;CAXIAS DO SUL;4
2021-01-09;RS;SAO LEOPOLDO;4
2021-01-09;TO;PALMAS;5
2021-01-11;MG;ARAGUARI;1
2021-01-11;MS;DOURADOS;2
2021-01-11;PI;PARNAIBA;1
2021-01-11;PR;PONTA GROSSA;1
2021-01-11;RJ;NITEROI;1
2021-01-11;RS;CAXIAS DO SUL;14
2021-01-11;RS;SAO LEOPOLDO;4
2021-01-12;ES;VITORIA;4
2021-01-12;MG;BELO HORIZONTE;11
2021-01-12;PE;OLINDA;7
2021-01-12;PR;CASCAVEL;2
2021-01-12;PR;COLOMBO;13
2021-01-12;RJ;CABO FRIO;10
2021-01-12;RJ;MESQUITA;1
2021-01-12;RJ;NILOPOLIS;5
2021-01-12;RJ;NOVA IGUACU;6
2021-01-12;RJ;RIO DE JANEIRO;22
2021-01-12;RR;BOA VISTA;15
2021-01-12;RS;PELOTAS;1
2021-01-12;RS;SANTA MARIA;2
2021-01-12;SC;CRICIUMA;2
2021-01-12;SC;FLORIANOPOLIS;1
2021-01-13;AP;MACAPA;6
2021-01-13;GO;GOIANIA;8
2021-01-13;MG;ARAGUARI;1
2021-01-13;MG;CATAGUASES;1
2021-01-13;PR;PONTA GROSSA;3
2021-01-13;RJ;NITEROI;4
2021-01-13;RO;PORTO VELHO;19
2021-01-13;RS;PASSO FUNDO;2
2021-01-14;BA;BARREIRAS;1
2021-01-14;CE;FORTALEZA;6
2021-01-14;ES;VITORIA;1
2021-01-14;MG;BELO HORIZONTE;6
2021-01-14;PA;MARABA;7
2021-01-14;PB;JOAO PESSOA;1
2021-01-14;PE;OLINDA;3
2021-01-14;PR;CASCAVEL;2
2021-01-14;PR;COLOMBO;8
2021-01-14;PR;CURITIBA;12
2021-01-14;RJ;NOVA IGUACU;3
2021-01-14;RJ;RIO DE JANEIRO;18
2021-01-14;RR;BOA VISTA;13
2021-01-14;RS;SANTA MARIA;2
2021-01-15;AP;MACAPA;6
2021-01-15;BA;EUNAPOLIS;1
2021-01-15;GO;GOIANIA;9
2021-01-15;PR;PONTA GROSSA;2
2021-01-15;RJ;MANGARATIBA;1
2021-01-15;RO;PORTO VELHO;17
2021-01-15;RS;CANOAS;7
2021-01-15;RS;PASSO FUNDO;2
2021-01-15;SC;RIO DO SUL;3
2021-01-16;BA;BARREIRAS;5
2021-01-16;BA;SALVADOR;6
2021-01-16;CE;FORTALEZA;10
2021-01-16;GO;RIO VERDE;1
2021-01-16;PA;ANANINDEUA;1
2021-01-16;PA;MARABA;10
2021-01-16;PB;JOAO PESSOA;1
2021-01-16;PE;RECIFE;3
2021-01-16;PR;CURITIBA;9
2021-01-16;RJ;ARMACAO DOS BUZIOS;1
2021-01-16;SC;BLUMENAU;3
2021-01-18;BA;BARREIRAS;5
2021-01-18;BA;JUAZEIRO;1
2021-01-18;BA;SALVADOR;8
2021-01-18;GO;APARECIDA DE GOIANIA;25
2021-01-18;MG;POUSO ALEGRE;1
2021-01-18;PE;CARUARU;3
2021-01-18;PE;RECIFE;5
2021-01-18;PR;ALMIRANTE TAMANDARE;1
2021-01-18;PR;CURITIBA;9
2021-01-18;PR;MARINGA;2
2021-01-18;PR;PINHAIS;5
2021-01-18;PR;SAO JOSE DOS PINHAIS;13
2021-01-18;RJ;ARMACAO DOS BUZIOS;1
2021-01-18;RO;JI-PARANA;5
2021-01-18;SE;ARACAJU;2
2021-01-19;AC;RIO BRANCO;9
2021-01-19;BA;JEQUIE;1
2021-01-19;BA;LAURO DE FREITAS;2
2021-01-01;MG;DIVINOPOLIS;1
2021-01-02;PA;BELEM;4
2021-01-02;PE;OLINDA;4
2021-01-02;PR;FOZ DO IGUACU;1
2021-01-02;RJ;ITAGUAI;4
2021-01-02;RS;CANOAS;4
2021-01-03;ES;VILA VELHA;1
2021-01-03;MG;JUIZ DE FORA;1
2021-01-04;AC;RIO BRANCO;13
2021-01-04;BA;BARREIRAS;2
2021-01-04;ES;SERRA;2
2021-01-04;MG;BETIM;4
2021-01-04;MG;POUSO ALEGRE;1
2021-01-04;MT;RONDONOPOLIS;8
2021-01-04;PE;CARUARU;3
2021-01-04;PR;CURITIBA;10
2021-01-04;RJ;DUQUE DE CAXIAS;16
2021-01-04;RJ;NILOPOLIS;6
2021-01-04;RJ;QUEIMADOS;1
2021-01-05;AL;MACEIO;1
2021-01-05;GO;APARECIDA DE GOIANIA;12
2021-01-05;GO;GOIANIA;11
2021-01-05;MG;CONTAGEM;1
2021-01-05;MS;DOURADOS;3
2021-01-05;PI;PARNAIBA;5
2021-01-05;PR;PINHAIS;6
2021-01-05;RJ;ARMACAO DOS BUZIOS;2
2021-01-05;RJ;CAMPOS DOS GOYTACAZES;2
2021-01-05;RN;NATAL;1
2021-01-05;RO;VILHENA;1
2021-01-05;RS;SANTO ANGELO;1
2021-01-05;SC;BRUSQUE;1
2021-01-05;SC;CRICIUMA;2
2021-01-05;SE;ARACAJU;3
2021-01-06;AM;MANAUS;7
2021-01-06;CE;JUAZEIRO DO NORTE;1
2021-01-06;MG;DIVINOPOLIS;2
2021-01-06;MG;MONTES CLAROS;3
2021-01-06;MG;UBA;5
2021-01-06;MG;VARGINHA;3
2021-01-06;PB;JOAO PESSOA;1
2021-01-06;PE;PETROLINA;2
2021-01-06;PE;RECIFE;1
2021-01-06;RJ;ANGRA DOS REIS;5
2021-01-06;RJ;ITAGUAI;1
2021-01-06;RJ;PETROPOLIS;6
2021-01-06;RJ;SAO JOAO DE MERITI;3
2021-01-06;RJ;VOLTA REDONDA;5
2021-01-06;RS;ALVORADA;3
2021-01-06;RS;CANOAS;7
2021-01-06;RS;PORTO ALEGRE;2
2021-01-06;SC;RIO DO SUL;1
2021-01-07;BA;ITABUNA;1
2021-01-07;BA;SALVADOR;11
2021-01-07;CE;FORTALEZA;6
2021-01-07;DF;BRASILIA;17
2021-01-07;MA;SAO LUIS;11
2021-01-07;PA;ANANINDEUA;1
2021-01-07;PA;MARABA;3
2021-01-07;PR;ALMIRANTE TAMANDARE;1
2021-01-07;PR;SAO JOSE DOS PINHAIS;14
2021-01-07;RJ;CABO FRIO;6
2021-01-07;RS;PASSO FUNDO;1
2021-01-07;TO;PALMAS;7
2021-01-08;BA;BARREIRAS;1
2021-01-08;MG;ARAGUARI;1
2021-01-08;MT;RONDONOPOLIS;10
2021-01-08;PR;CURITIBA;15
2021-01-08;PR;PONTA GROSSA;1
2021-01-08;RO;PORTO VELHO;23
2021-01-08;SC;LAGES;3
2021-01-09;AP;MACAPA;2
2021-01-09;BA;EUNAPOLIS;1
2021-01-09;GO;GOIANIA;12
2021-01-09;GO;RIO VERDE;2
2021-01-09;MG;CONTAGEM;3
2021-01-09;MG;GOVERNADOR VALADARES;1
2021-01-09;MG;PATROCINIO;4
2021-01-09;MG;SETE LAGOAS;5
2021-01-09;MT;CUIABA;2
2021-01-09;RJ;ARMACAO DOS BUZIOS;2
2021-01-09;RS;VIAMAO;1
2021-01-09;SC;BLUMENAU;2
2021-01-09;SC;BRUSQUE;3
2021-01-09;SC;ITAJAI;2
2021-01-11;BA;SALVADOR;7
2021-01-11;CE;FORTALEZA;14
2021-01-11;DF;BRASILIA;25
2021-01-11;ES;VILA VELHA;1
2021-01-11;MA;SAO LUIS;14
2021-01-11;MG;VESPASIANO;1
2021-01-11;PA;ANANINDEUA;2
2021-01-11;PA;MARABA;7
2021-01-11;PR;ALMIRANTE TAMANDARE;1
2021-01-11;PR;SAO JOSE DOS PINHAIS;8
2021-01-11;RJ;CABO FRIO;9
2021-01-11;RO;JI-PARANA;8
2021-01-11;RS;PASSO FUNDO;1
2021-01-11;SC;CHAPECO;1
2021-01-11;SC;FLORIANOPOLIS;1
2021-01-11;TO;PALMAS;3
2021-01-12;AM;MANAUS;8
2021-01-12;CE;JUAZEIRO DO NORTE;3
2021-01-12;MG;DIVINOPOLIS;2
2021-01-12;MG;MONTES CLAROS;3
2021-01-12;MG;UBA;6
2021-01-12;MG;VARGINHA;3
2021-01-12;PB;JOAO PESSOA;2
2021-01-12;PE;RECIFE;2
2021-01-12;RJ;ANGRA DOS REIS;3
2021-01-12;RJ;ITAGUAI;4
2021-01-12;RJ;PETROPOLIS;8
2021-01-12;RJ;SAO JOAO DE MERITI;6
2021-01-12;RJ;VOLTA REDONDA;4
2021-01-12;RS;CANOAS;6
2021-01-12;RS;PORTO ALEGRE;8
2021-01-12;SC;RIO DO SUL;2
2021-01-12;SC;TUBARAO;1
2021-01-13;BA;EUNAPOLIS;2
2021-01-13;GO;APARECIDA DE GOIANIA;23
2021-01-13;MG;LEOPOLDINA;1
2021-01-13;MS;DOURADOS;2
2021-01-13;PI;PARNAIBA;1
2021-01-13;PR;PINHAIS;2
2021-01-13;RJ;ARMACAO DOS BUZIOS;1
2021-01-13;RJ;RIO DE JANEIRO;24
2021-01-13;RN;NATAL;2
2021-01-13;RO;VILHENA;2
2021-01-13;SE;ARACAJU;1
2021-01-14;AC;RIO BRANCO;8
2021-01-14;ES;SERRA;1
2021-01-14;MG;BETIM;4
2021-01-14;PR;MARINGA;3
2021-01-14;RJ;DUQUE DE CAXIAS;10
2021-01-14;RJ;NILOPOLIS;4
2021-01-14;RS;CAXIAS DO SUL;5
2021-01-15;MG;JUIZ DE FORA;5
2021-01-15;MS;CAMPO GRANDE;2
2021-01-15;PI;TERESINA;2
2021-01-15;RJ;BELFORD ROXO;6
2021-01-15;RJ;NOVA IGUACU;4
2021-01-15;RS;SAO LEOPOLDO;1
2021-01-16;BA;JUAZEIRO;1
2021-01-16;MT;SINOP;2
2021-01-16;PA;BELEM;9
2021-01-16;PE;OLINDA;3
2021-01-16;PR;CASCAVEL;2
2021-01-16;RJ;SAO GONCALO;3
2021-01-17;AM;MANAUS;2
2021-01-18;AP;MACAPA;2
2021-01-18;BA;TEIXEIRA DE FREITAS;1
2021-01-18;BA;VITORIA DA CONQUISTA;2
2021-01-01;RJ;CABO FRIO;1
2021-01-02;BA;TEIXEIRA DE FREITAS;1
2021-01-02;GO;MORRINHOS;1
2021-01-02;MA;SANTA INES;1
2021-01-02;MG;CONTAGEM;1
2021-01-02;MG;SETE LAGOAS;1
2021-01-02;MT;RONDONOPOLIS;2
2021-01-02;RS;SANTO ANGELO;2
2021-01-02;SC;LAGES;1
2021-01-04;AM;MANAUS;9
2021-01-04;BA;JACOBINA;1
2021-01-04;CE;JUAZEIRO DO NORTE;3
2021-01-04;ES;CARIACICA;1
2021-01-04;MG;MONTES CLAROS;5
2021-01-04;MT;SINOP;1
2021-01-04;PR;PINHAIS;3
2021-01-04;RJ;SAO GONCALO;2
2021-01-04;RO;VILHENA;1
2021-01-04;RS;ALVORADA;4
2021-01-04;RS;NOVO HAMBURGO;2
2021-01-04;RS;SANTA CRUZ DO SUL;3
2021-01-04;SC;JOINVILLE;3
2021-01-05;GO;MORRINHOS;1
2021-01-05;MT;RONDONOPOLIS;7
2021-01-05;MT;SINOP;7
2021-01-05;PI;TERESINA;4
2021-01-05;RJ;SAO GONCALO;6
2021-01-05;RS;NOVO HAMBURGO;2
2021-01-05;RS;SANTA CRUZ DO SUL;1
2021-01-06;AC;RIO BRANCO;2
2021-01-06;MG;BETIM;2
2021-01-06;MG;JUIZ DE FORA;4
2021-01-06;PE;CARUARU;2
2021-01-06;PI;TERESINA;3
2021-01-06;PR;ALMIRANTE TAMANDARE;2
2021-01-06;PR;MARINGA;2
2021-01-06;PR;SAO JOSE DOS PINHAIS;12
2021-01-06;RJ;DUQUE DE CAXIAS;9
2021-01-06;RJ;TERESOPOLIS;1
2021-01-06;RO;JI-PARANA;1
2021-01-07;AC;RIO BRANCO;1
2021-01-07;BA;JACOBINA;1
2021-01-07;BA;JEQUIE;2
2021-01-07;BA;TEIXEIRA DE FREITAS;3
2021-01-07;GO;APARECIDA DE GOIANIA;12
2021-01-07;MG;BETIM;1
2021-01-07;MG;SETE LAGOAS;1
2021-01-07;PR;MARINGA;1
2021-01-07;PR;PINHAIS;2
2021-01-07;RJ;DUQUE DE CAXIAS;11
2021-01-07;RO;VILHENA;1
2021-01-07;RS;ALVORADA;8
2021-01-08;BA;FEIRA DE SANTANA;1
2021-01-08;GO;APARECIDA DE GOIANIA;20
2021-01-08;PR;PINHAIS;2
2021-01-08;RJ;BARRA MANSA;1
2021-01-08;RJ;CAMPOS DOS GOYTACAZES;1
2021-01-08;RS;CANOAS;4
2021-01-08;SC;RIO DO SUL;2
2021-01-08;SE;ARACAJU;1
2021-01-09;BA;JUAZEIRO;2
2021-01-09;MG;JUIZ DE FORA;9
2021-01-09;MT;SINOP;2
2021-01-09;PI;TERESINA;6
2021-01-09;PR;ALMIRANTE TAMANDARE;1
2021-01-09;PR;SAO JOSE DOS PINHAIS;7
2021-01-09;RJ;BELFORD ROXO;2
2021-01-09;RJ;SAO GONCALO;1
2021-01-09;RO;JI-PARANA;2
2021-01-11;AC;RIO BRANCO;8
2021-01-11;AM;MANAUS;14
2021-01-11;BA;JEQUIE;2
2021-01-11;BA;TEIXEIRA DE FREITAS;1
2021-01-11;CE;JUAZEIRO DO NORTE;5
2021-01-11;MA;SANTA INES;1
2021-01-11;MG;GOVERNADOR VALADARES;1
2021-01-11;MG;PATROCINIO;3
2021-01-11;MG;SETE LAGOAS;6
2021-01-11;PR;MARINGA;7
2021-01-11;PR;PINHAIS;5
2021-01-11;RJ;DUQUE DE CAXIAS;12
2021-01-11;RJ;TERESOPOLIS;1
2021-01-11;RO;VILHENA;3
2021-01-11;RS;ALVORADA;10
2021-01-11;SC;JOINVILLE;1
2021-01-12;AC;RIO BRANCO;18
2021-01-12;BA;VITORIA DA CONQUISTA;1
2021-01-12;MA;SANTA INES;1
2021-01-12;MG;BETIM;8
2021-01-12;MG;JUIZ DE FORA;2
2021-01-12;MG;SETE LAGOAS;4
2021-01-12;PE;CARUARU;2
2021-01-12;PI;TERESINA;6
2021-01-12;PR;ALMIRANTE TAMANDARE;1
2021-01-12;PR;MARINGA;1
2021-01-12;RJ;BELFORD ROXO;3
2021-01-12;RJ;DUQUE DE CAXIAS;10
2021-01-12;RJ;TERESOPOLIS;5
2021-01-12;RO;JI-PARANA;6
2021-01-13;DF;BRASILIA;20
2021-01-13;ES;CARIACICA;1
2021-01-13;ES;NOVA VENECIA;3
2021-01-13;GO;MORRINHOS;1
2021-01-13;MT;RONDONOPOLIS;16
2021-01-13;MT;SINOP;1
2021-01-13;RJ;SAO GONCALO;3
2021-01-13;RS;NOVO HAMBURGO;1
2021-01-13;RS;SANTA CRUZ DO SUL;1
2021-01-13;SC;LAGES;3
2021-01-14;AM;MANAUS;10
2021-01-14;BA;JEQUIE;1
2021-01-14;BA;LAURO DE FREITAS;3
2021-01-14;ES;CARIACICA;1
2021-01-14;ES;NOVA VENECIA;1
2021-01-14;MG;LEOPOLDINA;1
2021-01-14;MG;MONTES CLAROS;3
2021-01-14;MT;SINOP;1
2021-01-14;RJ;CAMPOS DOS GOYTACAZES;2
2021-01-14;RJ;SAO GONCALO;3
2021-01-14;RS;ALVORADA;6
2021-01-14;RS;PORTO ALEGRE;3
2021-01-14;RS;SANTA CRUZ DO SUL;2
2021-01-14;SC;JOINVILLE;2
2021-01-15;MG;CONTAGEM;1
2021-01-15;MG;DIVINOPOLIS;2
2021-01-15;MG;MONTES CLAROS;4
2021-01-15;MG;UBA;5
2021-01-15;MG;VARGINHA;2
2021-01-15;MT;CUIABA;2
2021-01-15;RJ;ANGRA DOS REIS;3
2021-01-15;RJ;ITAGUAI;1
2021-01-15;RJ;PETROPOLIS;6
2021-01-15;RJ;SAO JOAO DE MERITI;6
2021-01-15;RS;PORTO ALEGRE;2
2021-01-15;RS;VIAMAO;4
2021-01-15;SC;BRUSQUE;1
2021-01-16;ES;SERRA;2
2021-01-16;MG;CONTAGEM;4
2021-01-16;MG;PATROCINIO;4
2021-01-16;MG;SETE LAGOAS;8
2021-01-16;MT;CUIABA;1
2021-01-16;MT;RONDONOPOLIS;11
2021-01-16;RS;VIAMAO;2
2021-01-16;SC;ITAJAI;2
2021-01-16;SC;LAGES;1
2021-01-18;DF;BRASILIA;25
2021-01-18;MA;SAO LUIS;18
2021-01-18;MG;DIVINOPOLIS;7
2021-01-18;MG;UBA;4
2021-01-18;MG;VARGINHA;1
2021-01-19;MG;BETIM;2
2021-01-19;MT;SINOP;2
2021-01-19;PI;TERESINA;3
2021-01-19;RJ;BELFORD ROXO;2
2021-01-19;RJ;DUQUE DE CAXIAS;17
2021-01-19;RJ;SAO GONCALO;3
2021-01-19;RO;VILHENA;1
2021-01-19;RS;NOVO HAMBURGO;1
2021-01-19;RS;SANTA CRUZ DO SUL;2
2021-01-20;MA;SAO LUIS;8
2021-01-20;MG;ARAGUARI;1
2021-01-20;MG;POCOS DE CALDAS;1
2021-01-20;MG;VESPASIANO;1
2021-01-20;MS;CAMPO GRANDE;2
2021-01-20;MS;DOURADOS;2
2021-01-20;PA;BELEM;11
2021-01-20;PI;PARNAIBA;1
2021-01-20;RJ;NITEROI;1
2021-01-20;RN;NATAL;1
2021-01-20;RS;CAXIAS DO SUL;4
2021-01-20;RS;SAO LEOPOLDO;4
2021-01-20;TO;PALMAS;4
2021-01-21;BA;BARREIRAS;2
2021-01-21;CE;FORTALEZA;7
2021-01-21;MG;BELO HORIZONTE;5
2021-01-21;MG;POUSO ALEGRE;1
2021-01-21;PA;MARABA;3
2021-01-21;PB;JOAO PESSOA;1
2021-01-21;PE;OLINDA;4
2021-01-21;PR;CASCAVEL;3
2021-01-21;PR;COLOMBO;6
2021-01-21;PR;CURITIBA;12
2021-01-21;RJ;NOVA IGUACU;2
2021-01-21;RJ;RIO DE JANEIRO;21
2021-01-21;RR;BOA VISTA;19
2021-01-21;RS;SANTA MARIA;2
2021-01-22;AP;MACAPA;1
2021-01-22;GO;GOIANIA;11
2021-01-22;MG;ARAGUARI;1
2021-01-22;PR;PONTA GROSSA;8
2021-01-22;RJ;NITEROI;3
2021-01-22;RO;PORTO VELHO;18
2021-01-22;RS;SAO LEOPOLDO;7
2021-01-23;BA;BARREIRAS;3
2021-01-23;BA;ITABUNA;2
2021-01-23;BA;SALVADOR;8
2021-01-23;CE;FORTALEZA;8
2021-01-23;PA;ANANINDEUA;2
2021-01-23;PA;MARABA;9
2021-01-23;PE;RECIFE;1
2021-01-23;PR;CURITIBA;5
2021-01-23;RJ;ARMACAO DOS BUZIOS;3
2021-01-23;SC;BLUMENAU;4
2021-01-25;BA;BARREIRAS;4
2021-01-25;BA;ITABUNA;1
2021-01-25;BA;SALVADOR;5
2021-01-25;GO;APARECIDA DE GOIANIA;12
2021-01-25;PE;CARUARU;2
2021-01-25;PE;RECIFE;1
2021-01-25;PR;ALMIRANTE TAMANDARE;1
2021-01-25;PR;CURITIBA;5
2021-01-25;PR;MARINGA;4
2021-01-25;PR;PINHAIS;1
2021-01-25;PR;SAO JOSE DOS PINHAIS;6
2021-01-25;RO;JI-PARANA;4
2021-01-25;SC;BLUMENAU;1
2021-01-25;SE;ARACAJU;1
2021-01-26;AC;RIO BRANCO;4
2021-01-26;BA;FEIRA DE SANTANA;2
2021-01-26;MG;BETIM;4
2021-01-26;MG;LEOPOLDINA;1
2021-01-26;PI;TERESINA;1
2021-01-26;RJ;BELFORD ROXO;1
2021-01-26;RJ;DUQUE DE CAXIAS;7
2021-01-26;RJ;TERESOPOLIS;1
2021-01-26;RO;VILHENA;1
2021-01-26;RS;CANOAS;5
2021-01-26;SC;RIO DO SUL;1
2021-01-27;GO;APARECIDA DE GOIANIA;16
2021-01-27;MG;JUIZ DE FORA;3
2021-01-27;PE;CARUARU;1
2021-01-27;PR;ALMIRANTE TAMANDARE;2
2021-01-27;PR;MARINGA;5
2021-01-27;PR;PINHAIS;4
2021-01-27;PR;SAO JOSE DOS PINHAIS;10
2021-01-27;RO;JI-PARANA;5
2021-01-27;RS;ALVORADA;4
2021-01-27;SE;ARACAJU;2
2021-01-28;AC;RIO BRANCO;7
2021-01-28;ES;CARIACICA;1
2021-01-28;MG;BETIM;3
2021-01-28;MG;LEOPOLDINA;1
2021-01-28;MT;SINOP;3
2021-01-28;PI;TERESINA;4
2021-01-28;RJ;BELFORD ROXO;2
2021-01-28;RJ;DUQUE DE CAXIAS;8
2021-01-28;RJ;TERESOPOLIS;1
2021-01-28;RO;VILHENA;2
2021-01-28;RS;NOVO HAMBURGO;2
2021-01-29;AM;MANAUS;13
2021-01-29;BA;TEIXEIRA DE FREITAS;2
2021-01-29;CE;JUAZEIRO DO NORTE;3
2021-01-29;ES;NOVA VENECIA;2
2021-01-29;MG;GOVERNADOR VALADARES;2
2021-01-29;MG;JUIZ DE FORA;4
2021-01-29;MG;MONTES CLAROS;5
2021-01-29;MG;SETE LAGOAS;3
2021-01-29;RS;ALVORADA;7
2021-01-29;SC;ITAJAI;1
2021-01-29;SC;JOINVILLE;1
2021-01-30;BA;JUAZEIRO;1
2021-01-30;BA;SALVADOR;10
2021-01-30;GO;APARECIDA DE GOIANIA;17
2021-01-30;MG;JUIZ DE FORA;1
2021-01-30;PE;CARUARU;2
2021-01-30;PR;ALMIRANTE TAMANDARE;1
2021-01-30;PR;MARINGA;4
2021-01-30;PR;PINHAIS;4
2021-01-30;PR;SAO JOSE DOS PINHAIS;7
2021-01-30;RJ;ARMACAO DOS BUZIOS;2
2021-01-30;RO;JI-PARANA;4
2021-01-31;MG;BELO HORIZONTE;2
2021-02-01;ES;SERRA;2
2021-02-01;MG;BELO HORIZONTE;13
2021-02-01;PR;CASCAVEL;2
2021-02-01;PR;COLOMBO;14
2021-02-01;RJ;CABO FRIO;4
2021-02-01;RJ;ITAGUAI;1
2021-02-01;RJ;NILOPOLIS;8
2021-02-01;RS;PELOTAS;2
2021-02-01;SC;CRICIUMA;2
2021-02-01;SC;FLORIANOPOLIS;1
2021-02-02;AM;MANAUS;12
2021-02-02;BA;TEIXEIRA DE FREITAS;1
2021-02-02;CE;JUAZEIRO DO NORTE;4
2021-02-02;ES;NOVA VENECIA;1
2021-02-02;MG;GOVERNADOR VALADARES;6
2021-02-02;MG;MONTES CLAROS;2
2021-02-02;MG;SETE LAGOAS;5
2021-02-02;PE;PETROLINA;1
2021-02-02;RJ;DUQUE DE CAXIAS;13
2021-02-02;RS;ALVORADA;7
2021-02-02;SC;JOINVILLE;3
2021-02-03;AC;RIO BRANCO;9
2021-02-03;BA;JEQUIE;2
2021-02-03;MG;LEOPOLDINA;1
2021-02-03;MT;SINOP;3
2021-02-03;PI;TERESINA;4
2021-02-03;RJ;BELFORD ROXO;3
2021-02-03;RJ;SAO GONCALO;2
2021-02-03;RJ;TERESOPOLIS;1
2021-01-18;GO;RIO VERDE;1
2021-01-18;MG;BELO HORIZONTE;4
2021-01-18;MG;PATROCINIO;2
2021-01-18;MG;SETE LAGOAS;7
2021-01-18;PR;COLOMBO;12
2021-01-18;RJ;NITEROI;2
2021-01-18;RS;SANTA MARIA;2
2021-01-19;BA;BARREIRAS;3
2021-01-19;ES;SERRA;3
2021-01-19;GO;MORRINHOS;1
2021-01-19;MT;RONDONOPOLIS;12
2021-01-19;PR;CURITIBA;13
2021-01-19;PR;PONTA GROSSA;4
2021-01-19;RJ;NILOPOLIS;3
2021-01-19;RJ;QUEIMADOS;1
2021-01-19;RO;PORTO VELHO;15
2021-01-20;AP;MACAPA;2
2021-01-20;BA;EUNAPOLIS;1
2021-01-20;BA;VITORIA DA CONQUISTA;2
2021-01-20;GO;GOIANIA;9
2021-01-20;GO;RIO VERDE;1
2021-01-20;MG;CONTAGEM;3
2021-01-20;MG;PATROCINIO;1
2021-01-20;MG;SETE LAGOAS;5
2021-01-20;RS;VIAMAO;4
2021-01-21;BA;FEIRA DE SANTANA;1
2021-01-21;BA;JUAZEIRO;1
2021-01-21;MG;DIVINOPOLIS;4
2021-01-21;MG;UBA;2
2021-01-21;MG;VARGINHA;2
2021-01-21;PA;BELEM;8
2021-01-21;PE;RECIFE;2
2021-01-21;RJ;ITAGUAI;2
2021-01-21;RJ;PETROPOLIS;6
2021-01-21;RJ;SAO JOAO DE MERITI;7
2021-01-21;RJ;VOLTA REDONDA;2
2021-01-21;RS;CANOAS;3
2021-01-22;BA;SALVADOR;7
2021-01-22;MA;SAO LUIS;5
2021-01-22;MG;JUIZ DE FORA;2
2021-01-22;MG;VESPASIANO;3
2021-01-22;MS;CAMPO GRANDE;4
2021-01-22;PI;TERESINA;2
2021-01-22;PR;ALMIRANTE TAMANDARE;2
2021-01-22;PR;SAO JOSE DOS PINHAIS;10
2021-01-22;RJ;BELFORD ROXO;1
2021-01-22;RJ;CABO FRIO;6
2021-01-22;RJ;NOVA IGUACU;1
2021-01-22;RO;JI-PARANA;4
2021-01-22;TO;PALMAS;3
2021-01-23;AC;RIO BRANCO;1
2021-01-23;BA;TEIXEIRA DE FREITAS;1
2021-01-23;BA;VITORIA DA CONQUISTA;1
2021-01-23;MA;SANTA INES;2
2021-01-23;MG;BELO HORIZONTE;9
